Date,spx,civ_unemployment_rate,real_retail_and_services,industrial_production_consumer_goods,new_housing,yield_spread,national_fin_conditions,Retail Delta,Production Delta,New Housing Delta,SPX Returns 1 Month Lag,SPX Returns 2 Month Lag,SPX Returns 3 Month Lag
1/1/1992,408.779999,7.3," 118,643.00 ",64.7924," 1,077.00 ",3.12,-0.27,,,,0.96%,-1.25%,1.51%
2/1/1992,412.700012,7.4," 118,514.00 ",67.5516," 1,146.00 ",3.39,-0.35,-0.11%,4.26%,6.41%,-2.18%,0.55%,0.64%
3/1/1992,403.690002,7.4," 117,719.00 ",68.9517," 1,082.00 ",3.4,-0.38,-0.67%,2.07%,-5.58%,2.79%,2.89%,1.10%
4/1/1992,414.950012,7.4," 118,192.00 ",70.2733," 1,054.00 ",3.64,-0.39,0.40%,1.92%,-2.59%,0.10%,-1.64%,2.23%
5/1/1992,415.350006,7.6," 118,552.00 ",72.4264," 1,056.00 ",3.67,-0.42,0.30%,3.06%,0.19%,-1.74%,2.13%,-0.32%
6/1/1992,408.140015,7.8," 118,557.00 ",71.4256," 1,057.00 ",3.51,-0.49,0.00%,-1.38%,0.09%,3.94%,1.44%,2.37%
7/1/1992,424.209991,7.7," 119,078.00 ",73.2572," 1,089.00 ",3.56,-0.54,0.44%,2.56%,3.03%,-2.40%,-1.51%,-1.30%
8/1/1992,414.029999,7.6," 119,174.00 ",72.6905," 1,075.00 ",3.39,-0.5,0.08%,-0.77%,-1.29%,0.91%,1.12%,4.18%
9/1/1992,417.799988,7.6," 120,062.00 ",72.4179," 1,114.00 ",3.45,-0.44,0.75%,-0.38%,3.63%,0.21%,3.24%,4.29%
10/1/1992,418.679993,7.3," 120,452.00 ",74.0251," 1,132.00 ",3.66,-0.46,0.32%,2.22%,1.62%,3.03%,4.07%,4.80%
11/1/1992,431.350006,7.4," 120,355.00 ",74.6899," 1,118.00 ",3.66,-0.56,-0.08%,0.90%,-1.24%,1.01%,1.72%,2.79%
12/1/1992,435.709991,7.4," 121,571.00 ",75.4839," 1,176.00 ",3.48,-0.65,1.01%,1.06%,5.19%,0.70%,1.76%,3.66%
1/1/1993,438.779999,7.3," 122,604.00 ",76.5701," 1,177.00 ",3.53,-0.77,0.85%,1.44%,0.09%,1.05%,2.94%,0.32%
2/1/1993,443.380005,7.1," 121,433.00 ",76.2833," 1,148.00 ",3.27,-0.9,-0.96%,-0.37%,-2.46%,1.87%,-0.72%,1.54%
3/1/1993,451.670013,7," 120,257.00 ",76.6809," 1,056.00 ",2.97,-0.96,-0.97%,0.52%,-8.01%,-2.54%,-0.33%,-0.25%
4/1/1993,440.190002,7.1," 122,925.00 ",77.0928," 1,104.00 ",3.04,-0.95,2.22%,0.54%,4.55%,2.27%,2.35%,1.80%
5/1/1993,450.190002,7.1," 123,748.00 ",77.1664," 1,112.00 ",3.01,-0.79,0.67%,0.10%,0.72%,0.08%,-0.46%,2.97%
6/1/1993,450.529999,7," 123,493.00 ",76.416," 1,130.00 ",2.82,-0.71,-0.21%,-0.97%,1.62%,-0.53%,2.89%,1.86%
7/1/1993,448.130005,6.9," 125,093.00 ",76.2875," 1,174.00 ",2.7,-0.8,1.30%,-0.17%,3.89%,3.44%,2.41%,4.40%
8/1/1993,463.559998,6.8," 124,787.00 ",75.5001," 1,230.00 ",2.59,-0.92,-0.24%,-1.03%,4.77%,-1.00%,0.92%,-0.38%
9/1/1993,458.929993,6.7," 125,379.00 ",77.0355," 1,251.00 ",2.35,-0.91,0.47%,2.03%,1.71%,1.94%,0.62%,1.64%
10/1/1993,467.829987,6.8," 125,625.00 ",78.9783," 1,287.00 ",2.24,-0.8,0.20%,2.52%,2.88%,-1.29%,-0.29%,2.95%
11/1/1993,461.790009,6.6," 126,538.00 ",79.6936," 1,357.00 ",2.54,-0.49,0.73%,0.91%,5.44%,1.01%,4.29%,1.16%
12/1/1993,466.450012,6.5," 127,368.00 ",80.0423," 1,461.00 ",2.64,-0.28,0.66%,0.44%,7.66%,3.25%,0.15%,-4.43%
1/1/1994,481.609985,6.6," 126,540.00 ",81.2603," 1,390.00 ",2.71,-0.16,-0.65%,1.52%,-4.86%,-3.00%,-7.44%,-6.37%
2/1/1994,467.140015,6.6," 128,205.00 ",81.1562," 1,269.00 ",2.64,-0.09,1.32%,-0.13%,-8.71%,-4.57%,-3.47%,-2.28%
3/1/1994,445.769989,6.5," 130,243.00 ",81.9091," 1,342.00 ",2.89,-0.06,1.59%,0.93%,5.75%,1.15%,2.41%,-0.34%
4/1/1994,450.910004,6.4," 130,185.00 ",82.9134," 1,392.00 ",3.19,-0.11,-0.04%,1.23%,3.73%,1.24%,-1.47%,1.63%
5/1/1994,456.5,6.1," 129,451.00 ",83.1863," 1,396.00 ",2.91,-0.24,-0.56%,0.33%,0.29%,-2.68%,0.39%,4.16%
6/1/1994,444.269989,6.1," 130,626.00 ",83.9037," 1,357.00 ",2.85,-0.3,0.91%,0.86%,-2.79%,3.15%,7.03%,4.15%
7/1/1994,458.26001,6.1," 130,568.00 ",84.025," 1,335.00 ",2.84,-0.31,-0.04%,0.14%,-1.62%,3.76%,0.97%,3.07%
8/1/1994,475.48999,6," 131,649.00 ",85.4608," 1,377.00 ",2.63,-0.23,0.83%,1.71%,3.15%,-2.69%,-0.66%,-4.58%
9/1/1994,462.709991,5.9," 132,454.00 ",85.7842," 1,412.00 ",2.71,-0.07,0.61%,0.38%,2.54%,2.08%,-1.95%,-0.74%
10/1/1994,472.350006,5.8," 133,587.00 ",86.871," 1,397.00 ",2.64,0.17,0.86%,1.27%,-1.06%,-3.95%,-2.77%,-0.41%
11/1/1994,453.690002,5.6," 133,326.00 ",86.7399," 1,340.00 ",2.51,0.3,-0.20%,-0.15%,-4.08%,1.23%,3.69%,7.43%
12/1/1994,459.269989,5.5," 133,691.00 ",87.5612," 1,396.00 ",2.05,0.37,0.27%,0.95%,4.18%,2.43%,6.12%,9.02%
1/1/1995,470.420013,5.6," 133,942.00 ",87.968," 1,282.00 ",1.88,0.32,0.19%,0.46%,-8.17%,3.61%,6.44%,9.41%
2/1/1995,487.390015,5.4," 131,467.00 ",87.498," 1,254.00 ",1.53,0.23,-1.85%,-0.53%,-2.18%,2.73%,5.61%,9.44%
3/1/1995,500.709991,5.4," 132,427.00 ",87.3009," 1,226.00 ",1.29,0.16,0.73%,-0.23%,-2.23%,2.80%,6.53%,8.80%
4/1/1995,514.710022,5.8," 132,443.00 ",87.1333," 1,259.00 ",1.22,0.09,0.01%,-0.19%,2.69%,3.63%,5.84%,9.20%
5/1/1995,533.400024,5.6," 133,460.00 ",86.343," 1,271.00 ",0.78,0.02,0.77%,-0.91%,0.95%,2.13%,5.37%,5.34%
6/1/1995,544.75,5.6," 134,847.00 ",86.8754," 1,305.00 ",0.53,0,1.04%,0.62%,2.68%,3.18%,3.14%,7.28%
7/1/1995,562.059998,5.7," 134,311.00 ",85.0005," 1,354.00 ",0.69,0.05,-0.40%,-2.16%,3.75%,-0.03%,3.98%,3.46%
8/1/1995,561.880005,5.7," 135,075.00 ",87.7522," 1,386.00 ",0.92,0.01,0.57%,3.24%,2.36%,4.01%,3.49%,7.74%
9/1/1995,584.409973,5.6," 135,191.00 ",88.6706," 1,421.00 ",0.77,-0.12,0.09%,1.05%,2.53%,-0.50%,3.59%,5.39%
10/1/1995,581.5,5.5," 134,304.00 ",87.7385," 1,400.00 ",0.6,-0.25,-0.66%,-1.05%,-1.48%,4.10%,5.92%,9.38%
11/1/1995,605.369995,5.6," 135,759.00 ",87.8305," 1,430.00 ",0.41,-0.29,1.08%,0.10%,2.14%,1.74%,5.06%,5.79%
12/1/1995,615.929993,5.6," 136,734.00 ",88.4071," 1,442.00 ",0.42,-0.31,0.72%,0.66%,0.84%,3.26%,3.98%,4.80%
1/1/1996,636.02002,5.6," 134,926.00 ",85.9814," 1,387.00 ",0.5,-0.37,-1.32%,-2.74%,-3.81%,0.69%,1.49%,2.85%
2/1/1996,640.429993,5.5," 136,781.00 ",88.4339," 1,420.00 ",0.85,-0.44,1.37%,2.85%,2.38%,0.79%,2.15%,4.48%
3/1/1996,645.5,5.5," 137,527.00 ",85.6043," 1,437.00 ",1.17,-0.46,0.55%,-3.20%,1.20%,1.34%,3.66%,3.89%
4/1/1996,654.169983,5.6," 137,504.00 ",89.6052," 1,463.00 ",1.42,-0.36,-0.02%,4.67%,1.81%,2.29%,2.52%,-2.17%
5/1/1996,669.119995,5.6," 138,302.00 ",90.0547," 1,457.00 ",1.59,-0.25,0.58%,0.50%,-0.41%,0.23%,-4.36%,-2.56%
6/1/1996,670.630005,5.3," 137,881.00 ",91.9394," 1,429.00 ",1.68,-0.17,-0.30%,2.09%,-1.92%,-4.57%,-2.78%,2.49%
7/1/1996,639.950012,5.5," 137,818.00 ",92.1328," 1,450.00 ",1.57,-0.18,-0.05%,0.21%,1.47%,1.88%,7.40%,10.21%
8/1/1996,651.98999,5.1," 137,630.00 ",91.1589," 1,413.00 ",1.45,-0.26,-0.14%,-1.06%,-2.55%,5.42%,8.17%,16.11%
9/1/1996,687.330017,5.2," 139,023.00 ",92.1701," 1,392.00 ",1.59,-0.36,1.01%,1.11%,-1.49%,2.61%,10.14%,7.77%
10/1/1996,705.27002,5.2," 139,721.00 ",90.1359," 1,358.00 ",1.41,-0.43,0.50%,-2.21%,-2.44%,7.34%,5.03%,11.47%
11/1/1996,757.02002,5.4," 139,250.00 ",91.3681," 1,412.00 ",1.03,-0.55,-0.34%,1.37%,3.98%,-2.15%,3.85%,4.46%
12/1/1996,740.73999,5.4," 139,471.00 ",92.806," 1,411.00 ",1.26,-0.62,0.16%,1.57%,-0.07%,6.13%,6.76%,2.21%
1/1/1997,786.159973,5.3," 140,228.00 ",92.1558," 1,382.00 ",1.41,-0.61,0.54%,-0.70%,-2.06%,0.59%,-3.69%,1.93%
2/1/1997,790.820007,5.2," 141,145.00 ",93.7197," 1,445.00 ",1.28,-0.72,0.65%,1.70%,4.56%,-4.26%,1.33%,7.27%
3/1/1997,757.119995,5.2," 141,512.00 ",94.9451," 1,436.00 ",1.41,-0.83,0.26%,1.31%,-0.62%,5.84%,12.04%,16.91%
4/1/1997,801.340027,5.1," 140,455.00 ",92.4772," 1,421.00 ",1.59,-0.83,-0.75%,-2.60%,-1.04%,5.86%,10.46%,19.09%
5/1/1997,848.280029,4.9," 139,403.00 ",93.5428," 1,414.00 ",1.51,-0.78,-0.75%,1.15%,-0.49%,4.35%,12.50%,6.03%
6/1/1997,885.140015,5," 141,104.00 ",95.3406," 1,402.00 ",1.42,-0.76,1.22%,1.92%,-0.85%,7.81%,1.62%,7.02%
7/1/1997,954.309998,4.9," 142,605.00 ",95.3226," 1,440.00 ",1.03,-0.72,1.06%,-0.02%,2.71%,-5.75%,-0.74%,-4.16%
8/1/1997,899.469971,4.8," 142,610.00 ",97.4028," 1,449.00 ",1.02,-0.67,0.00%,2.18%,0.63%,5.32%,1.68%,6.22%
9/1/1997,947.280029,4.9," 142,856.00 ",98.197," 1,494.00 ",1.13,-0.71,0.17%,0.82%,3.11%,-3.45%,0.86%,2.44%
10/1/1997,914.619995,4.7," 142,305.00 ",99.4055," 1,499.00 ",0.92,-0.76,-0.39%,1.23%,0.33%,4.46%,6.10%,7.18%
11/1/1997,955.400024,4.6," 142,539.00 ",101.9074," 1,469.00 ",0.6,-0.74,0.16%,2.52%,-2.00%,1.57%,2.60%,9.83%
12/1/1997,970.429993,4.7," 142,891.00 ",101.6145," 1,456.00 ",0.51,-0.7,0.25%,-0.29%,-0.88%,1.02%,8.13%,13.53%
1/1/1998,980.280029,4.6," 142,966.00 ",102.1039," 1,555.00 ",0.36,-0.65,0.05%,0.48%,6.80%,7.04%,12.39%,13.41%
2/1/1998,1049.339966,4.6," 143,002.00 ",101.9029," 1,647.00 ",0.34,-0.65,0.03%,-0.20%,5.92%,4.99%,5.95%,3.95%
3/1/1998,1101.75,4.7," 143,854.00 ",102.1746," 1,605.00 ",0.49,-0.74,0.60%,0.27%,-2.55%,0.91%,-0.99%,2.91%
4/1/1998,1111.75,4.3," 145,485.00 ",102.5501," 1,547.00 ",0.56,-0.78,1.13%,0.37%,-3.61%,-1.88%,1.99%,0.80%
5/1/1998,1090.819946,4.4," 145,790.00 ",103.2638," 1,554.00 ",0.51,-0.69,0.21%,0.70%,0.45%,3.94%,2.74%,-12.24%
6/1/1998,1133.839966,4.5," 146,780.00 ",98.4384," 1,551.00 ",0.38,-0.56,0.68%,-4.67%,-0.19%,-1.16%,-15.57%,-10.30%
7/1/1998,1120.670044,4.5," 145,480.00 ",94.3892," 1,610.00 ",0.37,-0.43,-0.89%,-4.11%,3.80%,-14.58%,-9.25%,-1.96%
8/1/1998,957.280029,4.5," 144,683.00 ",105.5684," 1,654.00 ",0.3,-0.09,-0.55%,11.84%,2.73%,6.24%,14.77%,21.56%
9/1/1998,1017.01001,4.6," 145,897.00 ",105.6406," 1,577.00 ",0.07,0.19,0.84%,0.07%,-4.66%,8.03%,14.42%,20.87%
10/1/1998,1098.670044,4.5," 147,975.00 ",107.5653," 1,719.00 ",0.46,0.28,1.42%,1.82%,9.00%,5.91%,11.88%,16.47%
11/1/1998,1163.630005,4.4," 148,877.00 ",107.3135," 1,672.00 ",0.3,0.36,0.61%,-0.23%,-2.73%,5.64%,9.97%,6.42%
12/1/1998,1229.22998,4.4," 149,986.00 ",108.1772," 1,742.00 ",0.15,0.58,0.74%,0.80%,4.19%,4.10%,0.74%,4.65%
1/1/1999,1279.640015,4.3," 149,903.00 ",108.1967," 1,732.00 ",0.27,0.8,-0.06%,0.02%,-0.57%,-3.23%,0.53%,4.34%
2/1/1999,1238.329956,4.4," 151,494.00 ",109.1487," 1,720.00 ",0.44,0.81,1.06%,0.88%,-0.69%,3.88%,7.82%,5.13%
3/1/1999,1286.369995,4.2," 152,098.00 ",108.8019," 1,665.00 ",0.66,0.62,0.40%,-0.32%,-3.20%,3.79%,1.20%,6.71%
4/1/1999,1335.180054,4.3," 152,151.00 ",110.0817," 1,600.00 ",0.77,0.45,0.03%,1.18%,-3.90%,-2.50%,2.81%,-0.48%
5/1/1999,1301.839966,4.2," 153,457.00 ",111.1156," 1,640.00 ",0.91,0.4,0.86%,0.94%,2.50%,5.44%,2.06%,1.43%
6/1/1999,1372.709961,4.3," 153,899.00 ",110.461," 1,702.00 ",1.18,0.48,0.29%,-0.59%,3.78%,-3.20%,-3.81%,-6.56%
7/1/1999,1328.719971,4.3," 154,434.00 ",110.8161," 1,682.00 ",1.1,0.58,0.35%,0.32%,-1.18%,-0.63%,-3.46%,2.57%
8/1/1999,1320.410034,4.2," 155,747.00 ",113.3872," 1,671.00 ",1.07,0.78,0.85%,2.32%,-0.65%,-2.86%,3.22%,5.19%
9/1/1999,1282.709961,4.2," 155,752.00 ",111.6537," 1,551.00 ",1.1,0.98,0.00%,-1.53%,-7.18%,6.25%,8.28%,14.54%
10/1/1999,1362.930054,4.1," 155,756.00 ",115.3287," 1,649.00 ",1.09,1.02,0.00%,3.29%,6.32%,1.91%,7.80%,2.31%
11/1/1999,1388.910034,4.1," 157,294.00 ",114.4615," 1,672.00 ",0.8,0.92,0.99%,-0.75%,1.39%,5.78%,0.40%,-1.62%
12/1/1999,1469.25,4," 159,879.00 ",114.4677," 1,683.00 ",0.92,1.01,1.64%,0.01%,0.66%,-5.09%,-7.00%,2.00%
1/1/2000,1394.459961,4," 158,353.00 ",116.5933," 1,727.00 ",1.16,1.19,-0.95%,1.86%,2.61%,-2.01%,7.47%,4.16%
2/1/2000,1366.420044,4.1," 160,012.00 ",116.27," 1,692.00 ",0.79,1.21,1.05%,-0.28%,-2.03%,9.67%,6.29%,3.97%
3/1/2000,1498.579956,4," 160,944.00 ",115.8082," 1,651.00 ",0.4,1.13,0.58%,-0.40%,-2.42%,-3.08%,-5.20%,-2.93%
4/1/2000,1452.430054,3.8," 158,575.00 ",117.3813," 1,597.00 ",0.17,0.93,-1.47%,1.36%,-3.27%,-2.19%,0.15%,-1.49%
5/1/2000,1420.599976,4," 158,539.00 ",116.8635," 1,543.00 ",0.45,0.71,-0.02%,-0.44%,-3.38%,2.39%,0.72%,6.83%
6/1/2000,1454.599976,4," 158,792.00 ",116.4223," 1,572.00 ",0.24,0.51,0.16%,-0.38%,1.88%,-1.63%,4.34%,-1.24%
7/1/2000,1430.829956,4," 157,868.00 ",114.6587," 1,542.00 ",-0.09,0.28,-0.58%,-1.51%,-1.91%,6.07%,0.40%,-0.10%
8/1/2000,1517.680054,4.1," 158,045.00 ",114.4127," 1,552.00 ",-0.45,0.04,0.11%,-0.21%,0.65%,-5.35%,-5.82%,-13.36%
9/1/2000,1436.51001,3.9," 159,863.00 ",114.705," 1,570.00 ",-0.38,-0.22,1.15%,0.26%,1.16%,-0.49%,-8.46%,-8.09%
10/1/2000,1429.400024,3.9," 159,271.00 ",113.4356," 1,577.00 ",-0.55,-0.42,-0.37%,-1.11%,0.45%,-8.01%,-7.63%,-4.43%
11/1/2000,1314.949951,3.9," 158,394.00 ",111.1023," 1,614.00 ",-0.64,-0.57,-0.55%,-2.06%,2.35%,0.41%,3.88%,-5.70%
12/1/2000,1320.280029,3.9," 157,924.00 ",109.411," 1,543.00 ",-0.7,-0.9,-0.30%,-1.52%,-4.40%,3.46%,-6.09%,-12.11%
1/1/2001,1366.01001,4.2," 158,836.00 ",107.4046," 1,699.00 ",-0.13,-1.34,0.58%,-1.83%,10.11%,-9.23%,-15.06%,-8.53%
2/1/2001,1239.939941,4.2," 158,409.00 ",107.0907," 1,656.00 ",0.09,-1.49,-0.27%,-0.29%,-2.53%,-6.42%,0.77%,1.28%
3/1/2001,1160.329956,4.3," 156,995.00 ",109.6604," 1,659.00 ",0.35,-1.53,-0.89%,2.40%,0.18%,7.68%,8.23%,5.52%
4/1/2001,1249.459961,4.4," 159,186.00 ",109.9139," 1,666.00 ",1.17,-1.52,1.40%,0.23%,0.42%,0.51%,-2.01%,-3.06%
5/1/2001,1255.819946,4.3," 158,793.00 ",110.7116," 1,665.00 ",1.69,-1.49,-0.25%,0.73%,-0.06%,-2.50%,-3.55%,-9.73%
6/1/2001,1224.380005,4.5," 157,793.00 ",109.9753," 1,626.00 ",1.71,-1.48,-0.63%,-0.67%,-2.34%,-1.07%,-7.42%,-14.98%
7/1/2001,1211.22998,4.6," 157,566.00 ",110.3374," 1,598.00 ",1.65,-1.47,-0.14%,0.33%,-1.72%,-6.41%,-14.06%,-12.50%
8/1/2001,1133.579956,4.9," 158,638.00 ",109.5929," 1,615.00 ",1.53,-1.41,0.68%,-0.67%,1.06%,-8.17%,-6.51%,0.52%
9/1/2001,1040.939941,5," 155,022.00 ",108.6597," 1,565.00 ",2.04,-1.32,-2.28%,-0.85%,-3.10%,1.81%,9.46%,10.29%
10/1/2001,1059.780029,5.3," 165,886.00 ",107.6085," 1,566.00 ",2.37,-1.3,7.01%,-0.97%,0.06%,7.52%,8.33%,6.64%
11/1/2001,1139.449951,5.5," 161,668.00 ",109.4953," 1,651.00 ",2.74,-1.27,-2.54%,1.75%,5.43%,0.76%,-0.81%,-2.87%
12/1/2001,1148.079956,5.7," 159,926.00 ",112.0642," 1,680.00 ",3.37,-1.11,-1.08%,2.35%,1.76%,-1.56%,-3.60%,-0.06%
1/1/2002,1130.199951,5.7," 159,582.00 ",112.438," 1,665.00 ",3.36,-0.93,-0.22%,0.33%,-0.89%,-2.08%,1.52%,-4.71%
2/1/2002,1106.72998,5.7," 160,147.00 ",112.7188," 1,787.00 ",3.15,-0.77,0.35%,0.25%,7.33%,3.67%,-2.69%,-3.58%
3/1/2002,1147.390015,5.7," 159,251.00 ",113.8689," 1,691.00 ",3.45,-0.72,-0.56%,1.02%,-5.37%,-6.14%,-6.99%,-13.73%
4/1/2002,1076.920044,5.9," 161,082.00 ",115.5305," 1,669.00 ",3.46,-0.8,1.15%,1.46%,-1.30%,-0.91%,-8.09%,-15.35%
5/1/2002,1067.140015,5.8," 158,771.00 ",116.0945," 1,716.00 ",3.4,-0.86,-1.43%,0.49%,2.82%,-7.25%,-14.57%,-14.16%
6/1/2002,989.820007,5.8," 160,023.00 ",117.4711," 1,758.00 ",3.2,-0.9,0.79%,1.19%,2.45%,-7.90%,-7.45%,-17.63%
7/1/2002,911.619995,5.8," 161,348.00 ",118.708," 1,738.00 ",2.94,-0.95,0.83%,1.05%,-1.14%,0.49%,-10.57%,-2.84%
8/1/2002,916.070007,5.7," 162,095.00 ",117.8484," 1,695.00 ",2.61,-0.96,0.46%,-0.72%,-2.47%,-11.00%,-3.31%,2.21%
9/1/2002,815.280029,5.7," 159,532.00 ",117.8231," 1,803.00 ",2.21,-0.84,-1.58%,-0.02%,6.37%,8.64%,14.85%,7.92%
10/1/2002,885.76001,5.7," 159,842.00 ",117.1565," 1,799.00 ",2.33,-0.72,0.19%,-0.57%,-0.22%,5.71%,-0.67%,-3.39%
11/1/2002,936.309998,5.9," 160,592.00 ",119.8953," 1,771.00 ",2.8,-0.6,0.47%,2.34%,-1.56%,-6.03%,-8.61%,-10.16%
12/1/2002,879.820007,6," 161,617.00 ",118.0527," 1,896.00 ",2.82,-0.37,0.64%,-1.54%,7.06%,-2.74%,-4.40%,-3.60%
1/1/2003,855.700012,5.8," 161,716.00 ",119.8938," 1,808.00 ",2.86,-0.2,0.06%,1.56%,-4.64%,-1.70%,-0.88%,7.15%
2/1/2003,841.150024,5.9," 158,594.00 ",118.0638," 1,854.00 ",2.71,-0.16,-1.93%,-1.53%,2.54%,0.84%,9.01%,14.56%
3/1/2003,848.179993,5.9," 161,146.00 ",118.3872," 1,757.00 ",2.66,-0.28,1.61%,0.27%,-5.23%,8.10%,13.61%,14.89%
4/1/2003,916.919983,6," 161,377.00 ",117.2098," 1,803.00 ",2.81,-0.47,0.14%,-0.99%,2.62%,5.09%,6.28%,8.00%
5/1/2003,963.590027,6.1," 162,053.00 ",117.3138," 1,835.00 ",2.48,-0.6,0.42%,0.09%,1.77%,1.13%,2.77%,4.61%
6/1/2003,974.5,6.3," 163,660.00 ",118.4301," 1,875.00 ",2.39,-0.64,0.99%,0.95%,2.18%,1.62%,3.44%,2.20%
7/1/2003,990.309998,6.2," 164,827.00 ",121.3087," 1,885.00 ",3.06,-0.63,0.71%,2.43%,0.53%,1.79%,0.57%,6.10%
8/1/2003,1008.01001,6.1," 166,799.00 ",119.0482," 1,966.00 ",3.48,-0.53,1.20%,-1.86%,4.30%,-1.19%,4.24%,4.98%
9/1/2003,995.969971,6.1," 165,271.00 ",122.1184," 1,961.00 ",3.31,-0.3,-0.92%,2.58%,-0.25%,5.50%,6.25%,11.64%
10/1/2003,1050.709961,6," 164,859.00 ",121.257," 2,012.00 ",3.35,-0.24,-0.25%,-0.71%,2.60%,0.71%,5.83%,7.65%
11/1/2003,1058.199951,5.8," 166,784.00 ",123.5213," 1,918.00 ",3.35,-0.22,1.17%,1.87%,-4.67%,5.08%,6.89%,8.20%
12/1/2003,1111.920044,5.7," 165,694.00 ",123.4871," 1,987.00 ",3.36,-0.15,-0.65%,-0.03%,3.60%,1.73%,2.97%,1.29%
1/1/2004,1131.130005,5.7," 165,982.00 ",124.1273," 1,952.00 ",3.25,-0.15,0.17%,0.52%,-1.76%,1.22%,-0.43%,-2.11%
2/1/2004,1144.939941,5.6," 166,806.00 ",123.876," 1,966.00 ",3.14,-0.33,0.50%,-0.20%,0.72%,-1.64%,-3.29%,-2.12%
3/1/2004,1126.209961,5.8," 169,393.00 ",122.7748," 2,066.00 ",2.88,-0.44,1.55%,-0.89%,5.09%,-1.68%,-0.49%,1.30%
4/1/2004,1107.300049,5.6," 167,306.00 ",122.8636," 2,070.00 ",3.39,-0.37,-1.23%,0.07%,0.19%,1.21%,3.03%,-0.50%
5/1/2004,1120.680054,5.6," 169,480.00 ",121.9492," 2,150.00 ",3.68,-0.17,1.30%,-0.74%,3.86%,1.80%,-1.69%,-1.47%
6/1/2004,1140.839966,5.6," 166,740.00 ",119.1667," 2,020.00 ",3.44,-0.09,-1.62%,-2.28%,-6.05%,-3.43%,-3.21%,-2.30%
7/1/2004,1101.719971,5.5," 168,446.00 ",119.6933," 2,112.00 ",3.14,-0.08,1.02%,0.44%,4.55%,0.23%,1.17%,2.59%
