Date,spx,civ_unemployment_rate,real_retail_and_services,industrial_production_consumer_goods,new_housing,yield_spread,national_fin_conditions,Retail Delta,Production Delta,New Housing Delta,SPX Returns 1 Month Lag,SPX Returns 2 Month Lag,SPX Returns 3 Month Lag
8/1/2004,1104.23999,5.4," 168,576.00 ",120.7165," 2,056.00 ",2.78,-0.1,0.08%,0.85%,-2.65%,0.94%,2.35%,6.30%
9/1/2004,1114.579956,5.4," 171,026.00 ",119.9498," 2,041.00 ",2.45,-0.08,1.45%,-0.64%,-0.73%,1.40%,5.32%,8.73%
10/1/2004,1130.199951,5.5," 171,216.00 ",122.5621," 2,097.00 ",2.31,-0.03,0.11%,2.18%,2.74%,3.86%,7.23%,4.52%
11/1/2004,1173.819946,5.4," 171,016.00 ",120.8686," 2,079.00 ",2.08,0.04,-0.12%,-1.38%,-0.86%,3.25%,0.63%,2.54%
12/1/2004,1211.920044,5.4," 173,123.00 ",121.9504," 2,082.00 ",2.01,0.03,1.23%,0.90%,0.14%,-2.53%,-0.69%,-2.59%
1/1/2005,1181.27002,5.3," 171,689.00 ",121.0236," 2,139.00 ",1.85,-0.01,-0.83%,-0.76%,2.74%,1.89%,-0.06%,-2.07%
2/1/2005,1203.599976,5.4," 173,067.00 ",123.7706," 2,114.00 ",1.59,-0.02,0.80%,2.27%,-1.17%,-1.91%,-3.88%,-1.01%
3/1/2005,1180.589966,5.2," 172,601.00 ",121.377," 2,062.00 ",1.7,-0.03,-0.27%,-1.93%,-2.46%,-2.01%,0.92%,0.91%
4/1/2005,1156.849976,5.2," 173,982.00 ",120.2312," 2,150.00 ",1.5,-0.01,0.80%,-0.94%,4.27%,3.00%,2.98%,6.68%
5/1/2005,1191.5,5.1," 172,755.00 ",120.3557," 2,085.00 ",1.24,0.08,-0.71%,0.10%,-3.02%,-0.01%,3.58%,2.42%
6/1/2005,1191.329956,5," 177,571.00 ",121.0583," 2,178.00 ",0.96,0.18,2.79%,0.58%,4.46%,3.60%,2.43%,3.15%
7/1/2005,1234.180054,5," 177,881.00 ",118.6478," 2,203.00 ",0.89,0.27,0.17%,-1.99%,1.15%,-1.12%,-0.44%,-2.20%
8/1/2005,1220.329956,4.9," 174,967.00 ",122.1345," 2,219.00 ",0.74,0.29,-1.64%,2.94%,0.73%,0.69%,-1.09%,2.39%
9/1/2005,1228.810059,5," 172,854.00 ",124.7287," 2,263.00 ",0.71,0.23,-1.21%,2.12%,1.98%,-1.77%,1.68%,1.59%
10/1/2005,1207.01001,5," 172,938.00 ",125.9185," 2,170.00 ",0.67,0.07,0.05%,0.95%,-4.11%,3.52%,3.42%,6.05%
11/1/2005,1249.47998,5," 175,285.00 ",124.1806," 2,218.00 ",0.57,-0.12,1.36%,-1.38%,2.21%,-0.10%,2.45%,2.50%
12/1/2005,1248.290039,4.9," 175,430.00 ",122.9029," 2,120.00 ",0.5,-0.21,0.08%,-1.03%,-4.42%,2.55%,2.59%,3.73%
1/1/2006,1280.079956,4.7," 179,308.00 ",124.4127," 2,212.00 ",0.08,-0.13,2.21%,1.23%,4.34%,0.05%,1.16%,2.39%
2/1/2006,1280.660034,4.8," 177,901.00 ",122.2128," 2,141.00 ",0.03,-0.1,-0.78%,-1.77%,-3.21%,1.11%,2.34%,-0.83%
3/1/2006,1294.869995,4.7," 178,180.00 ",123.2426," 2,118.00 ",0.09,-0.19,0.16%,0.84%,-1.07%,1.22%,-1.91%,-1.91%
4/1/2006,1310.609985,4.7," 178,177.00 ",123.1642," 1,998.00 ",0.27,-0.29,0.00%,-0.06%,-5.67%,-3.09%,-3.08%,-2.59%
5/1/2006,1270.089966,4.6," 177,111.00 ",122.2195," 1,905.00 ",0.27,-0.33,-0.60%,-0.77%,-4.65%,0.01%,0.52%,2.66%
6/1/2006,1270.199951,4.6," 177,281.00 ",123.0943," 1,867.00 ",0.19,-0.32,0.10%,0.72%,-1.99%,0.51%,2.65%,5.17%
7/1/2006,1276.660034,4.7," 176,977.00 ",118.6596," 1,763.00 ",0.01,-0.25,-0.17%,-3.60%,-5.57%,2.13%,4.64%,7.93%
8/1/2006,1303.819946,4.7," 176,896.00 ",122.0442," 1,722.00 ",-0.21,-0.22,-0.05%,2.85%,-2.33%,2.46%,5.68%,7.43%
9/1/2006,1335.849976,4.5," 176,875.00 ",119.8951," 1,655.00 ",-0.21,-0.24,-0.01%,-1.76%,-3.89%,3.15%,4.85%,6.17%
10/1/2006,1377.939941,4.4," 177,513.00 ",118.27," 1,570.00 ",-0.32,-0.22,0.36%,-1.36%,-5.14%,1.65%,2.93%,4.38%
11/1/2006,1400.630005,4.5," 177,826.00 ",118.9241," 1,535.00 ",-0.47,-0.19,0.18%,0.55%,-2.23%,1.26%,2.69%,0.44%
12/1/2006,1418.300049,4.4," 179,355.00 ",121.6744," 1,638.00 ",-0.41,-0.16,0.86%,2.31%,6.71%,1.41%,-0.81%,0.18%
1/1/2007,1438.23999,4.6," 178,689.00 ",118.5378," 1,626.00 ",-0.35,-0.07,-0.37%,-2.58%,-0.73%,-2.18%,-1.21%,3.07%
2/1/2007,1406.819946,4.5," 178,278.00 ",120.0577," 1,598.00 ",-0.44,-0.06,-0.23%,1.28%,-1.72%,1.00%,5.37%,8.80%
3/1/2007,1420.859985,4.4," 178,975.00 ",120.709," 1,596.00 ",-0.52,-0.11,0.39%,0.54%,-0.13%,4.33%,7.72%,5.81%
4/1/2007,1482.369995,4.5," 177,889.00 ",122.8593," 1,470.00 ",-0.32,-0.12,-0.61%,1.78%,-7.89%,3.25%,1.42%,-1.83%
5/1/2007,1530.619995,4.4," 179,375.00 ",122.1386," 1,493.00 ",-0.12,-0.07,0.84%,-0.59%,1.56%,-1.78%,-4.92%,-3.70%
6/1/2007,1503.349976,4.6," 177,616.00 ",123.5475," 1,407.00 ",0.36,0.03,-0.98%,1.15%,-5.76%,-3.20%,-1.95%,1.56%
7/1/2007,1455.27002,4.7," 177,984.00 ",122.1514," 1,361.00 ",0.04,0.31,0.21%,-1.13%,-3.27%,1.29%,4.91%,6.47%
8/1/2007,1473.98999,4.6," 178,661.00 ",121.6642," 1,321.00 ",0.35,0.62,0.38%,-0.40%,-2.94%,3.58%,5.11%,0.49%
9/1/2007,1526.75,4.7," 178,826.00 ",120.1562," 1,261.00 ",0.53,1.03,0.09%,-1.24%,-4.54%,1.48%,-2.99%,-3.82%
10/1/2007,1549.380005,4.7," 179,367.00 ",119.7147," 1,192.00 ",0.53,1.33,0.30%,-0.37%,-5.47%,-4.40%,-5.23%,-11.03%
11/1/2007,1481.140015,4.7," 179,516.00 ",120.2139," 1,224.00 ",0.8,1.64,0.08%,0.42%,2.68%,-0.86%,-6.93%,-10.16%
12/1/2007,1468.359985,5," 177,472.00 ",120.2214," 1,149.00 ",1.03,1.86,-1.14%,0.01%,-6.13%,-6.12%,-9.38%,-9.92%
1/1/2008,1378.550049,5," 176,874.00 ",117.3117," 1,094.00 ",0.92,1.66,-0.34%,-2.42%,-4.79%,-3.48%,-4.05%,0.51%
2/1/2008,1330.630005,4.9," 174,780.00 ",116.5867," 1,014.00 ",1.57,1.39,-1.18%,-0.62%,-7.31%,-0.60%,4.13%,5.24%
3/1/2008,1322.699951,5.1," 174,589.00 ",113.6189, 967.00 ,2.23,1.55,-0.11%,-2.55%,-4.64%,4.75%,5.87%,-3.23%
4/1/2008,1385.589966,5," 174,387.00 ",111.0127," 1,008.00 ",2.37,1.6,-0.12%,-2.29%,4.24%,1.07%,-7.62%,-8.53%
5/1/2008,1400.380005,5.4," 174,645.00 ",109.8704, 995.00 ,2.12,1.43,0.15%,-1.03%,-1.29%,-8.60%,-9.50%,-8.39%
6/1/2008,1280,5.6," 173,077.00 ",110.5405," 1,180.00 ",2.21,1.59,-0.90%,0.61%,18.59%,-0.99%,0.22%,-8.88%
7/1/2008,1267.380005,5.8," 171,146.00 ",107.7168, 921.00 ,2.35,1.78,-1.12%,-2.55%,-21.95%,1.22%,-7.97%,-23.56%
8/1/2008,1282.829956,6.1," 170,155.00 ",103.3095, 858.00 ,2.14,1.7,-0.58%,-4.09%,-6.84%,-9.08%,-24.48%,-30.14%
9/1/2008,1166.359985,6.1," 167,389.00 ",102.4837, 797.00 ,2.54,2.12,-1.63%,-0.80%,-7.11%,-16.94%,-23.16%,-22.56%
10/1/2008,968.75,6.5," 162,570.00 ",99.9723, 736.00 ,3.12,3.11,-2.88%,-2.45%,-7.65%,-7.48%,-6.76%,-14.75%
11/1/2008,896.23999,6.8," 159,405.00 ",96.2301, 626.00 ,3.34,3.73,-1.95%,-3.74%,-14.95%,0.78%,-7.85%,-17.98%
12/1/2008,903.25,7.3," 157,195.00 ",91.8983, 554.00 ,2.39,3.55,-1.39%,-4.50%,-11.50%,-8.57%,-18.62%,-11.67%
1/1/2009,825.880005,7.8," 158,974.00 ",82.1722, 545.00 ,2.39,3.24,1.13%,-10.58%,-1.62%,-10.99%,-3.39%,5.68%
2/1/2009,735.090027,8.3," 157,823.00 ",83.8151, 558.00 ,2.57,2.72,-0.72%,2.00%,2.39%,8.54%,18.74%,25.04%
3/1/2009,797.869995,8.7," 155,273.00 ",83.4814, 513.00 ,2.6,2.19,-1.62%,-0.40%,-8.06%,9.39%,15.20%,15.22%
4/1/2009,872.809998,9," 155,759.00 ",83.6196, 521.00 ,2.77,1.62,0.31%,0.17%,1.56%,5.31%,5.33%,13.14%
5/1/2009,919.140015,9.4," 156,939.00 ",80.1519, 556.00 ,3.11,1.12,0.76%,-4.15%,6.72%,0.02%,7.44%,11.04%
6/1/2009,919.320007,9.5," 158,078.00 ",79.4272, 601.00 ,3.54,0.77,0.73%,-0.90%,8.09%,7.41%,11.02%,14.98%
7/1/2009,987.47998,9.5," 158,448.00 ",86.8629, 595.00 ,3.38,0.6,0.23%,9.36%,-1.00%,3.36%,7.05%,4.93%
8/1/2009,1020.619995,9.6," 160,903.00 ",87.9657, 616.00 ,3.42,0.41,1.55%,1.27%,3.53%,3.57%,1.53%,7.35%
9/1/2009,1057.079956,9.8," 156,780.00 ",91.6112, 609.00 ,3.28,0.28,-2.56%,4.14%,-1.14%,-1.98%,3.65%,5.49%
10/1/2009,1036.189941,10," 157,766.00 ",90.1946, 583.00 ,3.32,0.19,0.63%,-1.55%,-4.27%,5.74%,7.62%,3.64%
11/1/2009,1095.630005,9.9," 158,621.00 ",91.722, 623.00 ,3.35,0.21,0.54%,1.69%,6.86%,1.78%,-1.99%,0.81%
12/1/2009,1115.099976,9.9," 159,291.00 ",91.0422, 664.00 ,3.54,0.28,0.42%,-0.74%,6.58%,-3.70%,-0.95%,4.87%
1/1/2010,1073.869995,9.8," 159,205.00 ",92.1615, 636.00 ,3.67,0.27,-0.05%,1.23%,-4.22%,2.85%,8.90%,10.51%
2/1/2010,1104.48999,9.8," 159,625.00 ",90.6384, 650.00 ,3.58,0.16,0.26%,-1.65%,2.20%,5.88%,7.44%,-1.37%
3/1/2010,1169.430054,9.9," 163,128.00 ",91.8075, 687.00 ,3.58,-0.01,2.19%,1.29%,5.69%,1.48%,-6.84%,-11.86%
4/1/2010,1186.689941,9.9," 164,255.00 ",92.24, 637.00 ,3.69,-0.14,0.69%,0.47%,-7.28%,-8.20%,-13.14%,-7.17%
5/1/2010,1089.410034,9.6," 163,039.00 ",95.5249, 575.00 ,3.26,0.04,-0.74%,3.56%,-9.73%,-5.39%,1.12%,-3.68%
6/1/2010,1030.709961,9.4," 162,897.00 ",94.6496, 587.00 ,3.08,0.18,-0.09%,-0.92%,2.09%,6.88%,1.81%,10.72%
7/1/2010,1101.599976,9.4," 162,890.00 ",97.9124, 579.00 ,2.85,0.11,0.00%,3.45%,-1.36%,-4.74%,3.59%,7.41%
8/1/2010,1049.329956,9.5," 163,592.00 ",95.5624, 580.00 ,2.54,-0.06,0.43%,-2.40%,0.17%,8.76%,12.76%,12.51%
9/1/2010,1141.199951,9.5," 164,621.00 ",95.5718, 563.00 ,2.5,-0.14,0.63%,0.01%,-2.93%,3.69%,3.45%,10.20%
10/1/2010,1183.26001,9.4," 166,063.00 ",95.9758, 558.00 ,2.41,-0.16,0.88%,0.42%,-0.89%,-0.23%,6.29%,8.69%
11/1/2010,1180.550049,9.8," 167,280.00 ",94.6153, 560.00 ,2.62,-0.06,0.73%,-1.42%,0.36%,6.53%,8.94%,12.42%
12/1/2010,1257.640015,9.3," 167,502.00 ",94.1302, 632.00 ,3.15,0.01,0.13%,-0.51%,12.86%,2.26%,5.53%,5.42%
1/1/2011,1286.119995,9.1," 168,205.00 ",95.7739, 576.00 ,3.24,-0.05,0.42%,1.75%,-8.86%,3.20%,3.09%,6.03%
2/1/2011,1327.219971,9," 168,983.00 ",97.8714, 542.00 ,3.45,-0.03,0.46%,2.19%,-5.90%,-0.10%,2.74%,1.35%
3/1/2011,1325.829956,9," 169,683.00 ",99.4559, 583.00 ,3.31,0.02,0.41%,1.62%,7.56%,2.85%,1.46%,-0.39%
4/1/2011,1363.609985,9.1," 169,928.00 ",95.7119, 581.00 ,3.4,0.01,0.14%,-3.76%,-0.34%,-1.35%,-3.15%,-5.23%
5/1/2011,1345.199951,9," 169,213.00 ",96.8599, 618.00 ,3.13,0.09,-0.42%,1.20%,6.37%,-1.83%,-3.93%,-9.39%
6/1/2011,1320.640015,9.1," 170,401.00 ",96.1205, 636.00 ,2.96,0.13,0.70%,-0.76%,2.91%,-2.15%,-7.70%,-14.33%
7/1/2011,1292.280029,9," 169,893.00 ",97.1896, 621.00 ,2.96,0.14,-0.30%,1.11%,-2.36%,-5.68%,-12.45%,-3.02%
8/1/2011,1218.890015,9," 169,753.00 ",98.4131, 647.00 ,2.28,0.52,-0.08%,1.26%,4.19%,-7.18%,2.82%,2.30%
9/1/2011,1131.420044,9," 170,965.00 ",98.3258, 610.00 ,1.97,0.93,0.71%,-0.09%,-5.72%,10.77%,10.21%,11.15%
10/1/2011,1253.300049,8.8," 172,127.00 ",99.8987, 671.00 ,2.13,1.07,0.68%,1.60%,10.00%,-0.51%,0.34%,4.72%
11/1/2011,1246.959961,8.6," 172,370.00 ",98.2502, 706.00 ,2,0.98,0.14%,-1.65%,5.22%,0.85%,5.25%,9.52%
12/1/2011,1257.599976,8.5," 172,405.00 ",98.9259, 697.00 ,1.97,0.84,0.02%,0.69%,-1.27%,4.36%,8.59%,12.00%
1/1/2012,1312.410034,8.3," 173,505.00 ",101.3817, 715.00 ,1.94,0.52,0.64%,2.48%,2.58%,4.06%,7.32%,6.51%
2/1/2012,1365.680054,8.3," 175,204.00 ",100.8619, 733.00 ,1.88,0.25,0.98%,-0.51%,2.52%,3.13%,2.36%,-4.05%
3/1/2012,1408.469971,8.2," 175,632.00 ",99.8932, 797.00 ,2.09,0.09,0.24%,-0.96%,8.73%,-0.75%,-6.97%,-3.29%
4/1/2012,1397.910034,8.2," 174,564.00 ",100.679, 747.00 ,1.97,0.02,-0.61%,0.79%,-6.27%,-6.27%,-2.56%,-1.33%
5/1/2012,1310.329956,8.2," 174,616.00 ",99.8945, 807.00 ,1.71,0.05,0.03%,-0.78%,8.03%,3.96%,5.27%,7.35%
6/1/2012,1362.160034,8.2," 173,191.00 ",99.9986, 790.00 ,1.53,0.16,-0.82%,0.10%,-2.11%,1.26%,3.26%,5.76%
7/1/2012,1379.319946,8.2," 173,825.00 ",99.8104, 840.00 ,1.43,0.2,0.37%,-0.19%,6.33%,1.98%,4.45%,2.38%
8/1/2012,1406.579956,8.1," 174,803.00 ",99.2104, 832.00 ,1.58,0.12,0.56%,-0.60%,-0.95%,2.42%,0.40%,0.68%
9/1/2012,1440.670044,7.8," 175,598.00 ",98.2059, 921.00 ,1.61,0.01,0.45%,-1.01%,10.70%,-1.98%,-1.70%,-1.01%
10/1/2012,1412.160034,7.8," 175,220.00 ",98.2798, 895.00 ,1.65,-0.05,-0.22%,0.08%,-2.82%,0.28%,0.99%,6.09%
11/1/2012,1416.180054,7.7," 176,168.00 ",99.7789, 930.00 ,1.56,-0.11,0.54%,1.53%,3.91%,0.71%,5.79%,6.96%
12/1/2012,1426.189941,7.9," 177,035.00 ",102.0057, 938.00 ,1.65,-0.21,0.49%,2.23%,0.86%,5.04%,6.20%,10.03%
1/1/2013,1498.109985,8," 177,938.00 ",101.2791, 928.00 ,1.84,-0.3,0.51%,-0.71%,-1.07%,1.11%,4.74%,6.64%
2/1/2013,1514.680054,7.7," 178,811.00 ",103.6179, 971.00 ,1.88,-0.38,0.49%,2.31%,4.63%,3.60%,5.47%,7.66%
3/1/2013,1569.189941,7.5," 178,153.00 ",104.6068, 932.00 ,1.87,-0.42,-0.37%,0.95%,-4.02%,1.81%,3.92%,2.36%
4/1/2013,1597.569946,7.6," 178,026.00 ",104.3443," 1,015.00 ",1.7,-0.35,-0.07%,-0.25%,8.91%,2.08%,0.55%,5.52%
5/1/2013,1630.73999,7.5," 178,591.00 ",104.6963," 1,016.00 ",1.89,-0.24,0.32%,0.34%,0.10%,-1.50%,3.37%,0.14%
6/1/2013,1606.280029,7.5," 178,926.00 ",106.0009, 951.00 ,2.25,-0.17,0.19%,1.25%,-6.40%,4.95%,1.66%,4.69%
7/1/2013,1685.72998,7.3," 179,580.00 ",102.7087, 986.00 ,2.54,-0.21,0.37%,-3.11%,3.68%,-3.13%,-0.25%,4.20%
8/1/2013,1632.969971,7.3," 178,938.00 ",106.3694, 947.00 ,2.7,-0.26,-0.36%,3.56%,-3.96%,2.97%,7.57%,10.58%
9/1/2013,1681.550049,7.2," 178,728.00 ",107.3435," 1,015.00 ",2.79,-0.23,-0.12%,0.92%,7.18%,4.46%,7.39%,9.92%
10/1/2013,1756.540039,7.2," 179,572.00 ",107.5678," 1,031.00 ",2.57,-0.21,0.47%,0.21%,1.58%,2.80%,5.23%,1.48%
11/1/2013,1805.810059,6.9," 179,836.00 ",108.8503," 1,042.00 ",2.65,-0.26,0.15%,1.19%,1.07%,2.36%,-1.29%,2.97%
12/1/2013,1848.359985,6.7," 180,215.00 ",109.1315," 1,013.00 ",2.83,-0.32,0.21%,0.26%,-2.78%,-3.56%,0.60%,1.30%
1/1/2014,1782.589966,6.6," 177,921.00 ",105.4266," 1,001.00 ",2.82,-0.3,-1.27%,-3.39%,-1.18%,4.31%,5.03%,5.69%
2/1/2014,1859.449951,6.7," 179,961.00 ",109.1562," 1,032.00 ",2.66,-0.31,1.15%,3.54%,3.10%,0.69%,1.32%,3.45%
3/1/2014,1872.339966,6.7," 182,102.00 ",109.8952," 1,078.00 ",2.67,-0.37,1.19%,0.68%,4.46%,0.62%,2.74%,4.69%
4/1/2014,1883.949951,6.2," 183,395.00 ",109.1733," 1,080.00 ",2.68,-0.41,0.71%,-0.66%,0.19%,2.10%,4.05%,2.48%
5/1/2014,1923.569946,6.3," 183,393.00 ",110.7335," 1,007.00 ",2.53,-0.44,0.00%,1.43%,-6.76%,1.91%,0.37%,4.15%
6/1/2014,1960.22998,6.1," 183,562.00 ",111.1042," 1,015.00 ",2.56,-0.51,0.09%,0.33%,0.79%,-1.51%,2.20%,0.62%
7/1/2014,1930.670044,6.2," 183,506.00 ",112.7198," 1,053.00 ",2.51,-0.49,-0.03%,1.45%,3.74%,3.77%,2.16%,4.53%
8/1/2014,2003.369995,6.2," 185,266.00 ",111.0208," 1,045.00 ",2.39,-0.47,0.96%,-1.51%,-0.76%,-1.55%,0.73%,3.20%
9/1/2014,1972.290039,5.9," 184,721.00 ",110.9954," 1,062.00 ",2.51,-0.49,-0.29%,-0.02%,1.63%,2.32%,4.83%,4.39%
10/1/2014,2018.050049,5.7," 185,425.00 ",110.6508," 1,123.00 ",2.28,-0.42,0.38%,-0.31%,5.74%,2.45%,2.02%,-1.14%
11/1/2014,2067.560059,5.8," 186,450.00 ",114.4211," 1,073.00 ",2.31,-0.23,0.55%,3.41%,-4.45%,-0.42%,-3.51%,1.79%
12/1/2014,2058.899902,5.6," 185,925.00 ",113.761," 1,070.00 ",2.18,-0.08,-0.28%,-0.58%,-0.28%,-3.10%,2.21%,0.44%
1/1/2015,1994.98999,5.7," 185,570.00 ",112.8536," 1,069.00 ",1.85,0.04,-0.19%,-0.80%,-0.09%,5.49%,3.65%,4.54%
2/1/2015,2104.5,5.5," 184,362.00 ",111.0322," 1,127.00 ",1.96,-0.03,-0.65%,-1.61%,5.43%,-1.74%,-0.90%,0.14%
3/1/2015,2067.889893,5.4," 187,392.00 ",113.5137," 1,079.00 ",2.01,-0.21,1.64%,2.23%,-4.26%,0.85%,1.91%,-0.23%
4/1/2015,2085.51001,5.4," 187,206.00 ",114.7013," 1,178.00 ",1.92,-0.34,-0.10%,1.05%,9.18%,1.05%,-1.07%,0.88%
5/1/2015,2107.389893,5.5," 188,373.00 ",116.5324," 1,255.00 ",2.18,-0.36,0.62%,1.60%,6.54%,-2.10%,-0.17%,-6.42%
6/1/2015,2063.110107,5.3," 187,954.00 ",113.9661," 1,363.00 ",2.34,-0.37,-0.22%,-2.20%,8.61%,1.97%,-4.41%,-6.94%
7/1/2015,2103.840088,5.2," 188,923.00 ",118.7868," 1,134.00 ",2.29,-0.4,0.52%,4.23%,-16.80%,-6.26%,-8.74%,-1.16%
8/1/2015,1972.180054,5.1," 189,054.00 ",116.5588," 1,159.00 ",2.1,-0.3,0.07%,-1.88%,2.20%,-2.64%,5.43%,5.49%
9/1/2015,1920.030029,5," 189,288.00 ",116.578," 1,125.00 ",2.15,-0.19,0.12%,0.02%,-2.93%,8.30%,8.35%,6.45%
10/1/2015,2079.360107,5," 188,659.00 ",116.7191," 1,166.00 ",2.05,-0.21,-0.33%,0.12%,3.64%,0.05%,-1.70%,-6.69%
11/1/2015,2080.409912,5," 189,168.00 ",116.1891," 1,267.00 ",2.13,-0.27,0.27%,-0.45%,8.66%,-1.75%,-6.74%,-7.12%
12/1/2015,2043.939941,5," 190,357.00 ",116.5556," 1,218.00 ",2.01,-0.21,0.63%,0.32%,-3.87%,-5.07%,-5.47%,0.77%
1/1/2016,1940.23999,4.9," 188,223.00 ",117.6237," 1,193.00 ",1.83,-0.15,-1.12%,0.92%,-2.05%,-0.41%,6.16%,6.45%
2/1/2016,1932.22998,4.9," 189,737.00 ",117.9483," 1,195.00 ",1.47,-0.14,0.80%,0.28%,0.17%,6.60%,6.89%,8.52%
3/1/2016,2059.73999,5," 189,549.00 ",116.587," 1,115.00 ",1.59,-0.17,-0.10%,-1.15%,-6.69%,0.27%,1.81%,1.90%
4/1/2016,2065.300049,5," 190,128.00 ",117.807," 1,163.00 ",1.58,-0.23,0.31%,1.05%,4.30%,1.53%,1.62%,5.24%
5/1/2016,2096.949951,4.7," 190,403.00 ",115.8365," 1,178.00 ",1.53,-0.31,0.14%,-1.67%,1.29%,0.09%,3.66%,3.53%
6/1/2016,2098.860107,4.9," 192,028.00 ",118.3085," 1,193.00 ",1.37,-0.31,0.85%,2.13%,1.27%,3.56%,3.43%,3.31%
7/1/2016,2173.600098,4.9," 191,641.00 ",118.5917," 1,175.00 ",1.2,-0.32,-0.20%,0.24%,-1.51%,-0.12%,-0.25%,-2.18%
8/1/2016,2170.949951,4.9," 191,439.00 ",118.7283," 1,200.00 ",1.26,-0.42,-0.11%,0.12%,2.13%,-0.12%,-2.06%,1.28%
9/1/2016,2168.27002,4.9," 192,238.00 ",119.8104," 1,270.00 ",1.34,-0.46,0.42%,0.91%,5.83%,-1.94%,1.41%,3.25%
10/1/2016,2126.149902,4.8," 192,968.00 ",120.7472," 1,285.00 ",1.43,-0.45,0.38%,0.78%,1.18%,3.42%,5.30%,7.18%
11/1/2016,2198.810059,4.6," 192,806.00 ",119.6639," 1,255.00 ",1.69,-0.53,-0.08%,-0.90%,-2.33%,1.82%,3.64%,7.50%
12/1/2016,2238.830078,4.7," 193,968.00 ",120.6889," 1,266.00 ",1.98,-0.64,0.60%,0.86%,0.88%,1.79%,5.57%,5.53%
1/1/2017,2278.870117,4.8," 193,917.00 ",120.6983," 1,300.00 ",1.91,-0.71,-0.03%,0.01%,2.69%,3.72%,3.68%,4.62%
2/1/2017,2363.639893,4.7," 193,292.00 ",120.7683," 1,219.00 ",1.89,-0.69,-0.32%,0.06%,-6.23%,-0.04%,0.87%,2.04%
3/1/2017,2362.719971,4.5," 194,046.00 ",118.2224," 1,260.00 ",1.73,-0.63,0.39%,-2.11%,3.36%,0.91%,2.08%,2.57%
4/1/2017,2384.199951,4.4," 194,361.00 ",121.1219," 1,228.00 ",1.49,-0.55,0.16%,2.45%,-2.54%,1.16%,1.64%,3.61%
5/1/2017,2411.800049,4.3," 194,697.00 ",119.1662," 1,168.00 ",1.4,-0.51,0.17%,-1.61%,-4.89%,0.48%,2.43%,
6/1/2017,2423.409912,4.4," 194,630.00 ",119.0496," 1,275.00 ",1.19,-0.51,-0.03%,-0.10%,9.16%,1.93%,,
7/1/2017,2470.300049,4.3," 195,352.00 ",116.8298," 1,230.00 ",1.23,-0.53,0.37%,-1.86%,-3.53%,,,
